date,product,category,revenue,units,region
2024-01-05,Laptop Pro,Electronics,1299,3,North
2024-01-08,Wireless Headphones,Electronics,249,12,South
2024-01-10,Office Chair,Furniture,599,5,East
2024-01-12,Standing Desk,Furniture,899,2,West
2024-01-15,Laptop Pro,Electronics,1299,2,South
2024-01-18,USB Hub,Electronics,49,30,North
2024-01-20,Monitor 4K,Electronics,799,6,East
2024-01-22,Keyboard Mech,Electronics,189,8,West
2024-01-25,Webcam HD,Electronics,129,15,North
2024-01-28,Office Chair,Furniture,599,3,South
2024-02-02,Laptop Pro,Electronics,1299,4,East
2024-02-05,Standing Desk,Furniture,899,3,North
2024-02-08,Wireless Headphones,Electronics,249,9,West
2024-02-10,Monitor 4K,Electronics,799,4,South
2024-02-14,USB Hub,Electronics,49,45,East
2024-02-16,Keyboard Mech,Electronics,189,11,North
2024-02-20,Webcam HD,Electronics,129,20,West
2024-02-22,Office Chair,Furniture,599,6,East
2024-02-25,Laptop Pro,Electronics,1299,5,South
2024-02-28,Standing Desk,Furniture,899,1,North
2024-03-03,Monitor 4K,Electronics,799,7,West
2024-03-06,Wireless Headphones,Electronics,249,14,East
2024-03-10,Laptop Pro,Electronics,1299,6,North
2024-03-13,USB Hub,Electronics,49,60,South
2024-03-16,Keyboard Mech,Electronics,189,13,West
2024-03-19,Office Chair,Furniture,599,8,East
2024-03-22,Webcam HD,Electronics,129,25,North
2024-03-25,Standing Desk,Furniture,899,4,South
2024-03-28,Monitor 4K,Electronics,799,5,West
2024-03-30,Laptop Pro,Electronics,1299,3,East
2024-04-02,Wireless Headphones,Electronics,249,18,North
2024-04-05,USB Hub,Electronics,49,55,South
2024-04-08,Office Chair,Furniture,599,4,West
2024-04-11,Keyboard Mech,Electronics,189,16,East
2024-04-14,Laptop Pro,Electronics,1299,7,North
2024-04-17,Monitor 4K,Electronics,799,9,South
2024-04-20,Standing Desk,Furniture,899,5,West
2024-04-23,Webcam HD,Electronics,129,30,East
2024-04-26,Wireless Headphones,Electronics,249,11,North
2024-04-29,Laptop Pro,Electronics,1299,4,South
